t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind,region,wf_station,wf_n_snapshots,wf_n_successful,wf_spectral_slope,wf_spectral_r2,wf_waveform_entropy,wf_hht_imf1_if_median_hz
2000-02-15 15:20:00.910000+00:00,2000-03-16 15:20:00.910000+00:00,55,5,,,False,6.473355394949065,-9.212484409795309e-08,5.58,2000-03-16 15:20:00.910000+00:00,precursor,California,BK.PKD,6,6,-3.4812588901445327,0.9345610874382109,1.7363998756107186,2.0173871587206538
2000-08-04 08:36:30.980000+00:00,2000-09-03 08:36:30.980000+00:00,52,9,,,False,6.5529689102055455,-1.1910716807962005e-07,4.73,2000-09-03 08:36:30.980000+00:00,precursor,California,BK.PKD,6,6,-2.7103786761645683,0.8891046253698479,2.2660854412329816,2.8836015409499502
2001-06-17 12:07:27.480000+00:00,2001-07-17 12:07:27.480000+00:00,57,6,,,False,6.507862199101673,2.517373455389457e-07,4.72,2001-07-17 12:07:27.480000+00:00,precursor,California,BK.PKD,6,5,-2.372271456741231,0.8662418555509961,2.457613536571974,3.776635741507506
2001-11-08 23:36:12.640000+00:00,2001-12-08 23:36:12.640000+00:00,40,2,,,False,6.3713923728195,-2.838082212880124e-07,5.63,2001-12-08 23:36:12.640000+00:00,precursor,California,BK.PKD,6,6,-3.289426819078994,0.920634609800215,1.7608681926041179,2.2188698312930457
2003-01-23 12:19:11+00:00,2003-02-22 12:19:11+00:00,50,4,,,False,6.44594516550585,-1.2015950781301337e-07,4.55,2003-02-22 12:19:11+00:00,precursor,California,BK.PKD,6,6,-1.86600807550243,0.7823286962130588,2.4376468153111213,4.539788032829033
2003-11-22 19:15:57.840000+00:00,2003-12-22 19:15:57.840000+00:00,50,8,,,False,6.504815267999315,-9.848968864855887e-08,6.5,2003-12-22 19:15:57.840000+00:00,precursor,California,BK.PKD,6,6,-3.424913082804311,0.9198512306635922,1.7982965489727647,1.0660719182986602
2004-03-20 06:20:15.100000+00:00,2004-04-19 06:20:15.100000+00:00,48,0,,,False,6.327853271382981,-9.012857742064225e-08,4.74,2004-04-19 06:20:15.100000+00:00,precursor,California,BK.PKD,6,6,-2.5424700027238027,0.7509325613795647,2.1455974987878617,1.881524375211359
2004-08-29 17:15:25.150000+00:00,2004-09-28 17:15:25.150000+00:00,100,19,,,False,7.0307560207883135,2.5804549108789756e-06,5.82,2004-09-28 17:15:25.150000+00:00,precursor,California,BK.PKD,6,6,-2.068278826053335,0.6556127448306833,2.5807767856531396,7.065567394005111
2005-03-17 19:18:13.660000+00:00,2005-04-16 19:18:13.660000+00:00,39,3,,,False,6.310443585740028,-1.200500990273643e-07,4.71,2005-04-16 19:18:13.660000+00:00,precursor,California,BK.PKD,6,6,-2.3878578173407,0.8054215526036836,1.838141331270758,8.384776942931417
2006-01-17 17:47:58.720000+00:00,2006-02-16 17:47:58.720000+00:00,88,8,,,False,6.5769477307779205,-4.2121309483275223e-08,5.18,2006-02-16 17:47:58.720000+00:00,precursor,California,BK.PKD,6,6,-2.067002215803287,0.810515642199691,2.053380318735887,7.4237995714014655
2006-10-04 15:56:42.810000+00:00,2006-11-03 15:56:42.810000+00:00,40,4,,,False,6.336762764251811,5.1336656211291146e-08,4.77,2006-11-03 15:56:42.810000+00:00,precursor,California,BK.PKD,6,5,-1.9588907722464075,0.7715040118066051,2.1303963138479025,7.053162563323479
2007-01-27 12:19:59.500000+00:00,2007-02-26 12:19:59.500000+00:00,48,5,,,False,6.448467221387741,-2.5678740562164843e-08,4.97,2007-02-26 12:19:59.500000+00:00,precursor,California,BK.PKD,6,6,-2.075314732826056,0.7724043564939366,2.6709160450767797,6.302594248784749
2007-08-03 17:29:15.190000+00:00,2007-09-02 17:29:15.190000+00:00,39,3,,,False,6.299834213007132,1.0041482945843417e-07,4.69,2007-09-02 17:29:15.190000+00:00,precursor,California,BK.PKD,6,6,-2.0779502811981305,0.7146306875853923,2.5763261233384145,6.470286413708012
2008-01-10 07:12:07.800000+00:00,2008-02-09 07:12:07.800000+00:00,47,5,,,False,6.428884250178131,-1.011057104933711e-07,4.7,2008-02-09 07:12:07.800000+00:00,precursor,California,BK.PKD,6,6,-2.0269980727880994,0.7427953350690553,1.9366054234059114,8.239606464373779
2008-06-29 18:42:15.690000+00:00,2008-07-29 18:42:15.690000+00:00,56,5,,,False,6.433324319417012,-9.581321223891107e-08,5.34,2008-07-29 18:42:15.690000+00:00,precursor,California,BK.PKD,6,6,-1.9985253282691267,0.7399589004351371,2.177772553784593,8.277308794269263
2008-11-06 04:18:43.370000+00:00,2008-12-06 04:18:43.370000+00:00,88,9,,,False,6.664220375095723,-4.436409448673236e-09,4.62,2008-12-06 04:18:43.370000+00:00,precursor,California,BK.PKD,6,6,-1.8142412998757929,0.7685908739212609,2.714218955316538,6.9546475120881475
2009-08-20 22:55:19.280000+00:00,2009-09-19 22:55:19.280000+00:00,59,4,,,False,6.424479003514868,1.4193313963245346e-07,4.74,2009-09-19 22:55:19.280000+00:00,precursor,California,BK.PKD,6,6,-2.280877148485856,0.7791652687536227,1.9970963588453436,8.625158131973823
2009-12-11 00:27:42.100000+00:00,2010-01-10 00:27:42.100000+00:00,113,16,,,False,7.088741286424934,5.01027238038649e-07,6.35,2010-01-10 00:27:42.100000+00:00,precursor,California,BK.PKD,6,6,-2.494457664852306,0.8280102378369566,1.7844909933403101,8.478132523726217
2010-05-13 15:29:25.450000+00:00,2010-06-12 15:29:25.450000+00:00,408,45,1.654805392518745,-0.0165094860936557,True,7.338654694468308,-1.968919593823052e-06,4.5,2010-06-12 15:29:25.450000+00:00,precursor,California,BK.PKD,6,6,-2.4161985514894737,0.8674256709346171,2.100826390422467,7.1829673996267065
2012-01-14 21:07:03.100000+00:00,2012-02-13 21:07:03.100000+00:00,41,2,,,False,6.261868976233497,-9.513025519627169e-08,5.33,2012-02-13 21:07:03.100000+00:00,precursor,California,BK.PKD,6,6,-2.648633735491542,0.924054646583278,2.021687763781665,7.225258868150785
2012-05-24 03:51:56.960000+00:00,2012-06-23 03:51:56.960000+00:00,56,0,,,False,6.249553691481514,2.1894664401402193e-07,4.5,2012-06-23 03:51:56.960000+00:00,precursor,California,BK.PKD,6,6,-1.2760750955467737,0.6410609583635746,2.2972443741862976,7.595704655290638
2012-09-21 06:55:10.750000+00:00,2012-10-21 06:55:10.750000+00:00,42,1,,,False,6.251895573203808,-8.226125450590838e-08,5.09,2012-10-21 06:55:10.750000+00:00,precursor,California,BK.PKD,6,6,-1.755058829894787,0.7329263108902913,2.373338726953567,7.600567443617985
2013-01-14 00:10:15.620000+00:00,2013-02-13 00:10:15.620000+00:00,56,1,,,False,6.310562095053395,-1.6225455749451258e-07,4.69,2013-02-13 00:10:15.620000+00:00,precursor,California,BK.PKD,6,6,-2.2313769637559937,0.8117154745950647,1.9573281380294303,6.914272213848093
2013-04-24 03:47:08.290000+00:00,2013-05-24 03:47:08.290000+00:00,48,2,,,False,6.275259408004371,2.2980485759589465e-08,5.35,2013-05-24 03:47:08.290000+00:00,precursor,California,BK.PKD,6,6,-2.4672182470008366,0.8906073408395198,2.5245092123615698,6.424027459744604
2014-02-08 05:29:16.170000+00:00,2014-03-10 05:29:16.170000+00:00,10,1,,,False,5.588195276471821,-1.052848887889694e-08,4.5,2014-03-10 05:29:16.170000+00:00,precursor,California,BK.PKD,6,6,-2.4509687866433225,0.8993408515380726,2.1096169916223837,7.796481489245105
2014-07-25 10:20:46.330000+00:00,2014-08-24 10:20:46.330000+00:00,15,1,,,False,5.849741403529772,1.3122897919932045e-07,6.2,2014-08-24 10:20:46.330000+00:00,precursor,California,BK.PKD,6,6,-1.2146376265935672,0.7277586867324736,3.083947150698157,7.921893677508438
2014-12-29 21:08:54.010000+00:00,2015-01-28 21:08:54.010000+00:00,13,2,,,False,5.936985268996966,1.601197595628463e-07,5.19,2015-01-28 21:08:54.010000+00:00,precursor,California,BK.PKD,6,5,-2.8013495336153955,0.8941694707259493,2.1331182071904013,6.766925131161335
2016-05-11 08:04:38.150000+00:00,2016-06-10 08:04:38.150000+00:00,16,0,,,False,5.632112249536737,-1.5375524973758187e-08,4.7,2016-06-10 08:04:38.150000+00:00,precursor,California,BK.PKD,6,6,-1.9894598316699863,0.8412785451232437,2.5626317245931145,7.624948833662273
2016-11-14 16:41:07.240000+00:00,2016-12-14 16:41:07.240000+00:00,19,0,,,False,5.792856074152223,-3.076232747605421e-08,4.72,2016-12-14 16:41:07.240000+00:00,precursor,California,BK.PKD,6,5,-2.974569130679008,0.9154214271845248,1.820475606428415,6.294918558834551
2018-03-06 19:29:17.240000+00:00,2018-04-05 19:29:17.240000+00:00,22,4,,,False,6.041108706466795,-5.568553479915913e-08,4.84,2018-04-05 19:29:17.240000+00:00,precursor,California,BK.PKD,6,6,-2.18441696074887,0.8074996242469434,2.179710278205393,7.020355867375223
2020-03-12 14:36:38.420000+00:00,2020-04-11 14:36:38.420000+00:00,117,14,,,False,6.737059308185783,4.344723757478485e-07,4.82,2020-04-11 14:36:38.420000+00:00,precursor,California,BK.PKD,6,6,-2.1563578853004564,0.8004113855714493,2.4443145064313305,6.6551088411089765
2021-06-08 22:49:49.800000+00:00,2021-07-08 22:49:49.800000+00:00,104,2,,,False,6.512185498262706,-3.54563448431646e-07,5.58,2021-07-08 22:49:49.800000+00:00,precursor,California,BK.PKD,6,6,-2.4220159221327484,0.8619389173374987,2.0877100979016565,7.461336182729794
2021-11-20 20:10:21.700000+00:00,2021-12-20 20:10:21.700000+00:00,62,0,,,False,6.157617788874564,2.4613041191905733e-08,5.72,2021-12-20 20:10:21.700000+00:00,precursor,California,BK.PKD,6,6,-2.400157715707414,0.8517494999320995,2.2076912454655058,6.178443162182752
2022-09-25 18:42:03.270000+00:00,2022-10-25 18:42:03.270000+00:00,78,4,,,False,6.380242558669982,7.047655976793684e-08,4.84,2022-10-25 18:42:03.270000+00:00,precursor,California,BK.PKD,6,6,-2.2014253922389124,0.7783036107010181,2.591326424936715,6.45322123733739
2023-04-11 23:19:43.060000+00:00,2023-05-11 23:19:43.060000+00:00,102,4,,,False,6.55596534832884,3.605934513263773e-07,5.12,2023-05-11 23:19:43.060000+00:00,precursor,California,BK.PKD,6,6,-3.1147846477818706,0.9214999463922152,1.8154535805109884,4.179076690511165
2023-07-21 21:41:01.320000+00:00,2023-08-20 21:41:01.320000+00:00,87,1,,,False,6.322349556624811,9.103028914592812e-08,5.02,2023-08-20 21:41:01.320000+00:00,precursor,California,BK.PKD,6,6,-2.2991729124376303,0.8759610615236633,2.149622337219304,6.944738507275831
2024-06-29 20:00:52.010000+00:00,2024-07-29 20:00:52.010000+00:00,96,3,,,False,6.4903081403429965,-1.2064834540046662e-08,4.6,2024-07-29 20:00:52.010000+00:00,precursor,California,BK.PKD,6,6,-2.973128716902064,0.9460713098762175,2.051497614471617,6.527368602922527
